property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,106.0,162266.74,,,
apartment,Northeast,130.0,168507.77,,,
apartment,Northeast,235.0,299854.8,,,
apartment,Northeast,115.0,127941.08,,,
apartment,Northeast,115.0,127941.08,,,
apartment,Northeast,230.0,265243.71,,,
house,Northeast,151.0,94690.99,,,
apartment,Northeast,107.0,137302.62,,,
apartment,Northeast,98.0,131061.59,,,
apartment,Northeast,132.0,109217.99,,,
apartment,Northeast,110.0,152905.19,,,
house,Northeast,130.0,135723.75,,,
apartment,Northeast,134.0,234038.56,,,
apartment,Northeast,95.0,246520.62,,,
apartment,Northeast,168.0,154465.45,,,
house,Northeast,250.0,156025.71,,,
apartment,Northeast,115.0,118579.54,,,
apartment,Northeast,70.0,98400.2,,,
apartment,Northeast,178.0,140423.14,,,
apartment,Northeast,117.0,176933.15,,,
apartment,Northeast,60.0,90494.91,,,
apartment,Northeast,58.0,113898.77,,,
house,Northeast,225.0,152905.19,,,
apartment,Northeast,134.0,280846.28,,,
house,Northeast,240.0,218435.99,,,
apartment,Northeast,95.0,246520.62,,,
apartment,Northeast,168.0,154465.45,,,
house,Northeast,250.0,156025.71,,,
apartment,Northeast,115.0,118579.54,,,
apartment,Northeast,70.0,98400.2,,,
apartment,Northeast,178.0,140423.14,,,
apartment,Northeast,77.0,109217.99,,,
apartment,Northeast,161.0,343256.56,,,
apartment,Northeast,77.0,109217.99,,,
apartment,Northeast,161.0,343256.56,,,
apartment,Northeast,70.0,118579.54,,,
apartment,Northeast,95.0,93615.42,,,
apartment,Northeast,87.0,101416.71,,,
apartment,Northeast,110.0,140423.14,,,
apartment,Northeast,170.0,296448.85,,,
apartment,Northeast,90.0,262123.19,,,
apartment,Northeast,170.0,296448.85,,,
apartment,Northeast,90.0,262123.19,,,
apartment,Northeast,194.0,452474.56,,,
apartment,Northeast,113.0,104537.22,,,
apartment,Northeast,194.0,452474.56,,,
apartment,Northeast,105.0,171628.28,,,
apartment,Northeast,99.0,258475.31,,,
apartment,Northeast,100.0,273625.41,,,
apartment,Northeast,69.0,93615.42,,,
apartment,Northeast,80.0,146664.17,,,
apartment,Northeast,230.0,234038.56,,,
apartment,Northeast,76.0,118579.54,,,
apartment,Northeast,80.0,146664.17,,,
apartment,Northeast,230.0,234038.56,,,
apartment,Northeast,76.0,118579.54,,,
apartment,Northeast,125.0,105161.33,,,
apartment,Northeast,119.0,202833.42,,,
apartment,Northeast,110.0,180989.82,,,
apartment,Northeast,85.0,93303.37,,,
apartment,Northeast,137.0,215315.48,,,
apartment,Northeast,68.0,93615.42,,,
apartment,Northeast,137.0,215315.48,,,
apartment,Northeast,120.0,180989.82,,,
apartment,Northeast,70.0,109217.99,,,
house,Northeast,97.0,99856.45,,,
apartment,Northeast,80.0,137302.62,,,
apartment,Northeast,70.0,109217.99,,,
house,Northeast,97.0,99856.45,,,
apartment,Northeast,83.0,140458.3,,,
apartment,Northeast,72.0,84253.88,,,
apartment,Northeast,155.0,360747.98,,,
apartment,Northeast,80.0,115459.02,,,
apartment,Northeast,89.0,152905.19,,,
apartment,Northeast,107.0,156025.71,,,
apartment,Northeast,89.0,152905.19,,,
apartment,Northeast,107.0,156025.71,,,
apartment,Northeast,58.0,84253.88,,,
apartment,Northeast,58.0,74892.34,,,
apartment,Northeast,105.0,106097.48,,,
apartment,Northeast,134.0,358235.03,,,
apartment,Northeast,134.0,358375.46,,,
apartment,Northeast,134.0,358375.46,,,
apartment,Northeast,134.0,356590.52,,,
apartment,Northeast,134.0,366451.35,,,
apartment,Northeast,125.0,248080.88,,,
apartment,Northeast,110.0,134182.11,,,
apartment,Northeast,80.0,112338.51,,,
apartment,Northeast,125.0,248080.88,,,
apartment,Northeast,110.0,134182.11,,,
apartment,Northeast,80.0,112338.51,,,
apartment,Northeast,59.0,85814.14,,,
apartment,Northeast,97.0,102976.97,,,
apartment,Northeast,97.0,102976.97,,,
apartment,Northeast,155.0,399425.82,,,
apartment,Northeast,155.0,399425.82,,,
apartment,Northeast,78.0,171628.28,,,
apartment,Northeast,151.0,312051.42,,,
apartment,Northeast,89.0,209074.45,,,
apartment,Northeast,151.0,312051.42,,,
apartment,Northeast,89.0,202833.42,,,
apartment,Northeast,89.0,209074.45,,,
apartment,Northeast,162.0,390064.28,,,
house,Northeast,180.0,102976.97,,,
apartment,Northeast,112.0,109217.99,,,
apartment,Northeast,230.0,274605.25,,,
apartment,Northeast,180.0,358859.13,,,
apartment,Northeast,230.0,274605.25,,,
apartment,Northeast,180.0,358859.13,,,
apartment,Northeast,54.0,88934.65,,,
house,Northeast,237.0,140423.14,,,
apartment,Northeast,90.0,221556.51,,,
apartment,Northeast,92.0,174748.79,,,
apartment,Northeast,243.0,421269.42,,,
apartment,Northeast,107.0,209074.45,,,
apartment,Northeast,90.0,221556.51,,,
apartment,Northeast,92.0,174748.79,,,
apartment,Northeast,243.0,421269.42,,,
apartment,Northeast,137.0,212194.96,,,
apartment,Northeast,180.0,196592.39,,,
apartment,Northeast,211.0,374461.71,,,
apartment,Northeast,142.0,262123.19,,,
apartment,Northeast,142.0,327653.99,,,
house,Northeast,210.0,279286.02,,,
apartment,Northeast,106.0,140423.14,,,
apartment,Northeast,118.0,152905.19,,,
apartment,Northeast,89.0,174748.79,,,
apartment,Northeast,82.0,112338.51,,,
apartment,Northeast,85.0,115459.02,,,
apartment,Northeast,118.0,152905.19,,,
apartment,Northeast,89.0,174748.79,,,
apartment,Northeast,82.0,112338.51,,,
apartment,Northeast,85.0,115459.02,,,
house,Northeast,226.0,309323.9,,,
apartment,Northeast,70.0,205163.81,,,
apartment,Northeast,60.0,142036.48,,,
apartment,Northeast,61.0,113629.19,,,
apartment,Northeast,243.0,284072.97,,,
house,Northeast,160.0,198851.08,,,
house,Northeast,155.0,156240.13,,,
apartment,Northeast,211.0,362982.13,,,
apartment,Northeast,87.0,119941.92,,,
apartment,Northeast,55.0,104849.27,,,
apartment,Northeast,110.0,124820.57,,,
apartment,Northeast,77.0,81133.37,,,
house,Northeast,120.0,123098.28,,,
house,Northeast,150.0,119941.92,,,
apartment,Northeast,98.0,156025.71,,,
apartment,Northeast,98.0,156025.71,,,
apartment,Northeast,129.0,436871.99,,,
apartment,Northeast,104.0,124820.57,,,
apartment,Northeast,78.0,201273.16,,,
apartment,Northeast,129.0,436871.99,,,
apartment,Northeast,104.0,124820.57,,,
apartment,Northeast,78.0,201273.16,,,
apartment,Northeast,77.0,101003.72,,,
apartment,Northeast,90.0,209074.45,,,
apartment,Northeast,90.0,212194.96,,,
apartment,Northeast,90.0,209074.45,,,
apartment,Northeast,69.0,85814.14,,,
apartment,Northeast,117.0,120139.79,,,
apartment,Northeast,108.0,133181.05,,,
apartment,Northeast,108.0,133181.05,,,
apartment,Northeast,62.0,77638.39,,,
house,Northeast,140.0,131061.59,,,
apartment,Northeast,215.0,405666.85,,,
apartment,Northeast,195.0,358859.13,,,
apartment,Northeast,91.0,171628.28,,,
apartment,Northeast,85.0,84253.88,,,
apartment,Northeast,143.0,252761.65,,,
apartment,Northeast,150.0,230918.05,,,
